instance_id,crossover_mean,crossover_med,crossover_max
9703,2288615.8386310595,1440161.0222168518,24833025.59835865
23348,1125226.174881989,750165.1006912865,10383894.903577505
25135,1376442.1493619573,1325934.8110941022,6461237.935349734
15814,2168317.0653572213,1506240.459099663,14873796.540850308
1650,1415329.9740372684,1198533.8283036186,11942832.317169735
14991,1469235.5830542822,1140370.3385610369,9171500.176085887
19600,1441576.0234026213,1209237.095267221,9489664.975149501
18392,5379942.5177023895,4209150.385915864,32246069.721263293
4619,4062839.105974125,4183317.092273416,13378574.668080619
361,1594539.901161232,1138562.6604012875,11568621.124755885
25262,1094160.2235150135,829480.389467832,7684374.699473731
17550,1513268.1438554637,1382146.951358505,9603774.99254273
9438,782635.3378658892,457496.70529508765,5443187.399901575
18685,4103035.9094897103,4295293.8244764265,14763056.716853186
10085,1645392.8255290259,1113395.5757710114,15226058.60921294
3138,2680848.465208005,2206408.416564864,20242936.035606667
24429,4789037.541557114,3400310.4435356,27083512.82282069
22437,1169517.0281960147,784249.4962711823,10253768.242413418
17837,1491109.5379192485,1190676.6925355564,10213830.666254826
23962,2999689.7145248204,2247724.034386107,27712419.743101
19154,1467882.8352685326,1115973.8295211724,10226581.736816851
3948,2691418.978848828,1461192.409029014,24268593.98900811
16194,1245197.892336566,786379.3193269006,9911346.268635929
22153,2227989.4399216427,1016843.6106535402,23406021.92476986
9607,10362863.99560886,10717149.884961402,42045337.91826328
1581,3028875.264447319,2961389.4415715635,11102223.624499032
1661,2688732.8510600636,2492113.349965897,10495552.34228736
16968,1076780.76155891,914171.7033609017,6147029.271369623
19968,11009659.429656137,11342909.882084597,32181059.544531796
13646,1246193.6253046943,776017.2313336276,9640708.467919556
12374,1277376.288892777,815540.0968339737,13775728.509685434
5745,2793402.5345159248,2928675.9129855465,9501401.443600707
2428,3319338.897111127,3280387.772510859,17406519.109179456
22615,1674825.8984471841,1127175.3779293045,11528197.764124524
17073,4498947.518167656,4716642.787528096,13329788.665241322
23154,1197982.3623830548,727165.530624707,9370536.378390148
26696,1172371.3012259551,671054.667650675,12450713.823832218
22828,5617763.556783828,3744856.42628044,41825723.427469656
2677,1629265.1744460799,1405681.771818142,9969045.024036057
2112,2983794.9947941895,2940523.384431792,12808414.294208579
1475,1022916.2426822075,695377.9205361349,7527336.3352404935
22667,3691044.560260461,1974526.202929353,28388776.983736336
14989,1590596.9366555333,1102507.124782563,11198810.649929285
2810,17192128.390587665,17978677.87353389,33938029.97412193
8041,7730130.067448146,7787384.917007559,25657643.98171355
5531,1757644.665378358,1589530.1340095797,9333259.976432113
17152,3530202.048730508,3176087.3434237926,22380720.521305498
9016,1592300.3129475485,1256664.2663029984,12045411.224160759
22508,1015924.9699132111,696718.0940140843,8023407.159008658
6665,9592041.638952283,10250596.061876934,26700271.271669056
243,2512611.7857390954,2278974.34224172,14747066.50702767
25831,5757768.569259717,6124069.396972688,20097667.161769573
20955,1086317.2925432967,804265.7981912841,6609343.216878223
10110,1945204.694795349,1543212.1798315044,12128753.925135413
13463,932086.0083890776,469692.0575472702,14722948.047423618
18226,12646715.736139487,13277812.112564985,33954748.73529662
102,14778410.496989008,15644646.927451782,31391306.576115232
21357,14716657.351821594,15571938.502199901,34446384.551289536
21312,1270790.2295589282,839730.6462571931,8406536.975478789
21810,1112636.3959219905,829144.8367558721,8313184.515917658
24792,1570584.0578442833,987288.2449282549,10738815.858113687
24223,1338752.7111638354,816287.774083107,17100886.710696552
9134,1196696.1621591225,805407.016162936,8199580.771710961
20823,5245430.473658103,5519582.0937860375,18411864.50050848
19984,1589129.160622946,926259.6849873277,10311331.639932167
7452,912819.1655977528,690696.6421164641,5876436.486368205
24748,1790644.6159355347,1431482.526698295,14181319.378195958
25242,1350600.0268434144,954899.9695137385,9698717.639664358
512,1772432.809400944,947075.9010939663,17693031.049955647
11408,2111897.732453394,1778847.2702967818,13078367.544984967
8478,1580697.7131651205,867157.3551087526,15604769.375559349
17354,1599001.2740306961,1523568.4486395512,5966855.929861104
2536,8989463.41026275,9441311.82582413,31443253.56168174
22480,1656104.7675827201,1042503.0349230671,14258180.506569318
18365,2863513.414320578,2633310.7907169177,13037073.986669257
19921,1268443.6242921075,769407.69223896,11818500.874359434
12346,1995969.0166436315,1134088.2773674757,17371041.04088329
15155,6080113.751933375,6317370.169763776,16030151.583312284
4711,2168417.037380393,1177880.9803888085,15454315.844976338
11758,1345279.2785836265,895323.3450938262,11758788.402779032
25670,2653732.3273089137,1448583.029718862,17430167.200034767
6246,1700835.5927302598,1561637.8618476312,10531799.18202131
12387,3081477.0096247834,3232714.595702753,11690199.158871632
11527,2369496.441719348,2131069.248386812,18943134.257553875
12067,9152817.449446414,9689375.408420712,19277829.42787767
10055,1260982.9524731524,1095398.8819876409,7734696.038153309
9308,4726158.274594549,2773611.543059812,38146276.63132835
3034,5238136.963772117,5504519.038187316,14162994.448366618
20944,2947076.4532245235,2304746.5836681332,17224714.178578306
17418,18306195.422635086,18979396.441556104,44713640.85771984
15660,1755397.4741852882,972580.9559959732,22384649.906824596
12409,978402.0297349052,587099.9132319379,9934252.74430377
13059,2907180.365102489,2876315.8472649315,10693080.210257087
9662,5850681.702794638,6108968.92956741,14199572.630598834
23442,8464217.374089722,9063842.529187722,22243442.50267935
5143,3093938.8698054147,2868379.056961856,21710273.57305124
7017,8539906.533439286,8725878.989479713,23480788.315267783
14312,2380008.874524083,2293164.02437176,11584278.5014543
21499,1120044.6284240268,911238.0028264023,6787322.366864899
20260,6344926.203751792,6525295.822130055,20428505.306241415
8561,4052710.9977874067,4039188.878510784,18081707.942846384
17100,6875450.553020402,6997727.243465614,33469365.064331364
16039,11092315.480551977,11388624.555332497,25935383.720865864
2388,12340538.792200342,12787346.842796773,37873847.300060794
15804,4218275.505303667,4357933.634021569,18465772.153038584
19268,7019392.354102786,7417106.176377739,23294563.82293763
17419,4500733.852743075,4377022.065684151,19515359.71590631
2050,1393690.1494904275,1109614.7708927367,7111097.852374547
8307,993504.5938966236,747780.50080647,6547765.879858938
1052,2034838.5343003832,1922594.8294233158,10913032.799975678
8872,2081642.3475300004,1683995.6948628216,15635978.400506038
20765,2010638.9722320435,1524227.9881256425,12263498.281508327
13601,7802173.521047499,8031659.011776889,21654629.724908784
25030,1808335.9845767831,1618947.436607553,8077704.578560874
3882,1400553.4066557167,1137540.8794830788,9404653.97165343
22016,7640437.032533861,7932102.050424807,20669103.50667696
16945,2290610.5998044424,1427756.1276103293,17878127.47076135
15901,6027494.462007631,6135734.012013614,26389733.05229963
13367,8568594.836430801,7873027.494555706,37571406.271261804
16707,3346175.3425854426,3534200.7954068724,9599024.157694733
25852,1086710.5888376073,642528.283761093,15537700.767622383
25346,2524166.8736692537,2476164.829772977,12010757.433231408
19562,2245799.652023854,1510148.2175563383,18634882.8571051
24477,3303660.8260543915,3369960.6319507733,11970741.701744057
18537,8445772.96280419,8773595.909652362,34000115.760682866
19223,7057575.3109793905,7438422.806316854,17571013.442215882
20188,7291574.485661059,7558929.440589907,24717827.468428567
11955,9322069.052423986,9881203.929239485,20575491.772178616
6662,3341720.2507388094,2297493.0756313633,27705551.57142356
13540,3961898.7033946887,4087259.9648570335,12409465.496874088
10739,3886023.583874662,4003678.713878187,12030739.927579599
7576,767469.027221807,490478.3252227647,5586579.114016174
15421,5342033.337491481,5257423.904809891,16627828.80057862
18993,6995009.652329066,7374552.5622506095,15861524.013440292
4949,7406100.48864666,7782599.444382656,24471046.34252719
10673,10177962.88609819,10613959.705942018,28849987.423305985
13847,3970915.420208656,4008894.896356009,17214291.465016473
2443,2259985.0076563796,1812777.9743742729,16798257.8155943
1472,1720655.2754037615,1202394.8173381414,14084150.134878282
21998,10947449.074755397,11366513.90113722,24035297.9142278
2290,4180393.508071167,4177273.664970721,18301583.38463297
9469,1265843.3111358418,1128441.385519028,7746733.48858298
136,6238288.6667155605,3795083.2308114194,47298354.7550295
4451,4596343.3168268055,4566183.064465286,20934327.065743312
1129,6654374.182904527,5731944.081937673,36420008.78965385
473,5176742.322991633,5337241.382248063,19030118.62469688
7371,8170960.278671467,8515210.849556962,21186393.41034774
2324,2638406.439834329,2198174.3452592334,20846118.119751852
23289,2737628.877221415,2160432.0408121143,19437889.102540296
18919,2927955.265109818,2724695.579110924,17997006.854653038
23766,4942475.856873282,5160585.819196114,11033886.589039894
9442,4385986.540842663,3647407.7666786257,29987891.60238275
3847,1422685.160374217,750881.9222184501,16277548.73014667
14000,6004084.147168985,5263542.7101926105,34192820.15017536
1697,1983416.7215213503,1713571.960954382,9914654.101802833
9849,4411843.427425942,3375699.743124716,25018872.390742503
21845,6654429.455155739,6781804.553429725,19531736.7632564
9464,1652573.4788660032,1630295.8263153434,5419538.456982762
5067,4635700.6565190125,3630416.4265062846,23375528.3083586
3894,4144350.1920338674,3913682.49028419,21229305.589013133
14299,4555278.124070094,4828662.99878336,9543633.542984955
10721,3390527.1285079946,2956837.098913972,19668091.755394705
4837,4349179.993575725,3347319.2165927477,33253931.06806721
8134,3171448.770537293,2905021.465194867,12512799.606186736
1274,8241934.041155732,8474309.200386772,21357427.94578528
20091,14714500.492489932,15589010.165384073,41749477.0606763
10301,2853780.5961154616,2892149.730776335,10165109.66158953
17478,7191281.71222675,7578433.989428842,20761096.999611888
12227,5164068.548227649,5337642.155796205,17824553.08279489
5793,5993059.706066446,5796002.533408174,21819689.368246898
4053,2833338.409300612,2582525.8960703714,15570289.162145132
24864,1876209.4123858619,1725216.641655277,11214299.780102475
17036,5858204.390319324,6078855.630986158,17746745.49224657
26211,6080762.369422308,6248335.293511964,22094099.181682944
15545,1717036.2171974326,1220704.1580471233,10292439.270203281
23741,1709984.080092029,1220039.4902481413,10552481.280037018
2011,2867027.575347891,2217306.550152317,19304264.623355374
4516,4975182.862389104,4686098.664886712,19371879.23907234
26075,5540235.058627831,3809833.441311183,35711001.5025921
4600,1558092.842819347,1247075.093987063,11439392.265262367
1833,3168723.5970041715,2381013.5529335747,26161592.42752609
20993,2170184.2372506727,2124114.503514195,9266130.8196208
17896,1768900.2529560062,1646793.455924329,7669295.941418149
7348,6127209.533687891,6144446.566149457,25228130.937892705
5593,8529872.349556467,8850312.57706157,24217252.45346233
20454,5877191.977847112,5652092.418780665,26114271.458229277
10952,2872429.7454331857,2318297.9973771223,22120683.01993783
23095,5818884.12726343,3547451.4367339453,37812251.90123705
12784,5452249.362250708,4874714.529705433,26044317.706398644
6649,7472259.757736447,6516918.542948427,37075735.36931963
4371,9360208.512231693,9219742.289483344,36459256.80365288
2360,1175413.6370550955,907220.4934599253,8567421.801125446
26466,3970460.6251027677,4207539.762632096,11506941.014860952
12078,5122778.998892026,3196989.6617949,28529040.275071867
26023,2985866.1640212876,1721207.610851049,29378826.33280134
15498,1376005.436230607,1052212.1666238264,8562216.31827706
8955,1921797.8631650624,1415737.2911330813,17319991.825133353
26093,1845567.2397573744,1564051.3723680633,13186824.15023422
19862,2355361.6997924,1510381.6176362147,20717575.819243323
14048,4800512.209141006,5036872.692016677,13459551.449127033
6889,1253695.253458095,917144.2969813244,7829064.418485183
19332,4301140.537440955,4322886.650582339,17148436.60425078
15253,1805638.7025770505,1142692.8648386344,11911556.023118872
9434,1995265.8149452505,1812664.3686895592,10181434.255329436
22835,1969780.3466191492,1785766.5553777446,8353329.250457608
4567,4673065.159759514,4882085.455543654,14611445.030378902
1928,1605393.0677698203,1551746.6285257072,8212217.746107994
7952,1344004.429582535,976487.3225930105,8277121.58953257
24834,1450500.7188323957,872178.2649627919,10965164.977976417
21065,3729094.282502048,3480932.71359587,11939633.715849418
22968,2196385.5117635955,1324813.62929572,18276013.37421131
12622,1553376.7669827444,1078873.4750629591,11630906.01712114
12311,985053.0873232897,597144.1016159009,8670379.357202936
8017,955371.6306003338,811379.8325067551,5770874.450086016
11341,1438574.7680216634,927626.5497756437,13084194.261432985
23680,1949674.150335634,1151715.4144798967,15904019.675492667
24525,1928632.7955898102,1120492.440947889,17298633.656504985
19402,1274611.1008284474,880734.9045527078,10687174.894923156
21722,2007217.9520067514,1626762.5874000627,11481067.002732823
3658,2664885.917076514,1440437.919527038,20959537.65085802
3644,1613490.558518686,1313682.2427558864,9788502.844774108
8097,3072165.0694351066,2550453.5978837167,19958378.818951808
13802,4669410.272969188,2513719.9864641144,31072031.52400345
2685,2960475.8428729805,2603023.3650480877,15979546.902258283
14083,1876343.147355018,1266550.2844335176,13816074.281656306
25279,5675244.043452988,5777557.298302302,19512902.841545317
3365,2230304.243543881,2103726.2699870383,11778440.045093365
21447,1846927.0811698174,746425.9089973627,18658506.716485426
